GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dietiestates25,com.dietiestates25.model,Role,0,27,0,0,0,5,0,1,0,1
dietiestates25,com.dietiestates25.model,Agent,0,3,0,0,0,1,0,1,0,1
dietiestates25,com.dietiestates25.model,EnergyClass,0,69,0,0,0,2,0,1,0,1
dietiestates25,com.dietiestates25.model,PropertyPhoto,0,7,0,0,0,3,0,1,0,1
dietiestates25,com.dietiestates25.model,Property,0,13,0,0,0,3,0,1,0,1
dietiestates25,com.dietiestates25.model,Agency,0,3,0,0,0,1,0,1,0,1
dietiestates25,com.dietiestates25.model,PropertyType,0,15,0,0,0,3,0,1,0,1
dietiestates25,com.dietiestates25.model,User,0,12,0,0,0,4,0,1,0,1
dietiestates25,com.dietiestates25.model,Review,4,0,0,0,2,0,1,0,1,0
dietiestates25,com.dietiestates25.config,WebMvcConfig,0,28,0,0,0,5,0,2,0,2
dietiestates25,com.dietiestates25.config,JwtAuthenticationFilter,7,80,4,8,1,24,3,4,0,1
dietiestates25,com.dietiestates25.config,ApplicationConfig,37,24,0,0,8,7,4,4,4,4
dietiestates25,com.dietiestates25.config,S3Config,0,20,0,0,0,6,0,2,0,2
dietiestates25,com.dietiestates25.config,SecurityConfig,0,74,0,0,0,14,0,4,0,4
dietiestates25,com.dietiestates25.config,JwtService,0,98,1,3,0,23,1,11,0,10
dietiestates25,com.dietiestates25.controller,AuthController,8,14,0,0,2,3,1,2,1,2
dietiestates25,com.dietiestates25.controller,AgencyController,0,34,0,0,0,7,0,3,0,3
dietiestates25,com.dietiestates25.controller,FileUploadController,0,18,0,0,0,4,0,1,0,1
dietiestates25,com.dietiestates25.controller,PropertyController,16,41,0,0,3,19,2,1,2,1
dietiestates25,com.dietiestates25.controller,ReviewController,0,25,0,0,0,5,0,2,0,2
dietiestates25,com.dietiestates25.controller,UserController,0,26,0,0,0,5,0,2,0,2
dietiestates25,com.dietiestates25.controller,AgentController,0,47,0,2,0,10,0,6,0,5
dietiestates25,com.dietiestates25.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
dietiestates25,com.dietiestates25.exception,AgentServiceException,5,4,0,0,2,2,1,1,1,1
dietiestates25,com.dietiestates25.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
dietiestates25,com.dietiestates25.exception,GlobalExceptionHandler,0,80,0,0,0,13,0,10,0,10
dietiestates25,com.dietiestates25.exception,FileStorageException,0,9,0,0,0,4,0,2,0,2
dietiestates25,com.dietiestates25.service,AuthService,77,123,2,2,18,26,2,4,1,3
dietiestates25,com.dietiestates25.service,LocalStorageService,17,87,3,5,4,21,4,4,1,3
dietiestates25,com.dietiestates25.service,UserService,16,223,7,21,2,50,9,18,2,11
dietiestates25,com.dietiestates25.service,AgencyService,22,164,5,9,4,41,6,7,1,5
dietiestates25,com.dietiestates25.service,S3StorageService,8,73,2,4,3,14,3,3,1,2
dietiestates25,com.dietiestates25.service,ReviewService,5,64,1,1,0,16,2,3,1,3
dietiestates25,com.dietiestates25.service,PropertyService,13,629,19,51,3,119,20,27,1,11
dietiestates25,com.dietiestates25.service,AgentService,66,314,6,22,12,79,10,16,4,8
dietiestates25,com.dietiestates25.dto,ReviewDTO,0,34,0,2,0,8,0,2,0,1
dietiestates25,com.dietiestates25,DietiEstates25Application,5,3,0,0,2,1,1,1,1,1
dietiestates25,com.dietiestates25.security,CustomOAuth2SuccessHandler,14,312,14,22,3,72,13,15,0,10
